IQ-TREE multicore version 1.7-beta12 for Mac OS X 64-bit built May  6 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    friprobob.local (AVX2, FMA3, 16 GB RAM)
Command: iqtree -nt 8 -s ../res/iqtree/full/full.nex -p ../res/iqtree/full/full.nex -m GTR+G --prefix concat -bb 1000
Seed:    140324 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Apr 17 09:32:44 2020
Kernel:  AVX+FMA - 8 threads (12 CPU cores detected)

Reading partition model file ../res/iqtree/full/full.nex ...
Skipping unknown block (data)...
Reading alignment file ../res/iqtree/full/full.nex ... Nexus format detected
Skipping unknown block (sets)...
Alignment has 41 sequences with 374157 columns, 128800 distinct patterns
109206 parsimony-informative, 74885 singleton sites, 190066 constant sites
        Gap/Ambiguity  Composition  p-value
   1  A_call    2.85%    failed      0.00%
   2  AkaNud    3.57%    passed     91.28%
   3  ArtSko    3.10%    passed     88.77%
   4  A_test    2.97%    failed      0.00%
   5  BatMar    6.53%    passed     42.24%
   6  BovDia    2.45%    passed      5.64%
   7  BovVar    2.22%    passed      7.78%
   8  ChaAce    5.63%    passed     51.57%
   9  ChaWil    0.84%    passed     34.34%
  10  ChiDew    2.83%    passed     37.82%
  11  CotGob    3.66%    failed      0.00%
  12  CryAnt    1.20%    passed     39.36%
  13  DisMaw    0.13%    passed     64.55%
  14  DolLon    3.32%    passed     89.31%
  15  EleMac    2.86%    failed      0.00%
  16  G_acul    4.96%    failed      0.00%
  17  GobGib    2.72%    failed      3.34%
  18  GymAcu    3.02%    passed     85.92%
  19  HarAnt    2.05%    passed     84.91%
  20  HarKer    6.21%    passed     54.32%
  21  H_come   16.31%    failed      0.00%
  22  HisVel    1.02%    passed     91.06%
  23  LepLar    7.62%    passed     10.63%
  24  LepNud    0.70%    passed     54.80%
  25  LepSqu    4.57%    passed     21.30%
  26  M_arma    3.78%    failed      0.00%
  27  NotRos    1.59%    passed     87.17%
  28  O_lati    6.78%    failed      0.93%
  29  PagMac    1.10%    passed     61.82%
  30  PatGun    3.95%    passed     86.35%
  31  P_fluv    3.26%    failed      0.00%
  32  PleAnt    9.45%    failed      3.10%
  33  P_magn   17.75%    failed      0.00%
  34  PseGeo    1.82%    passed     61.50%
  35  S_nigr    6.06%    failed      0.00%
  36  TreBer    1.06%    passed     35.23%
  37  TreHan    2.91%    passed     42.58%
  38  TreLoe    0.40%    passed     41.79%
  39  TreSco    4.74%    passed     86.93%
  40  T_rubr    8.17%    failed      0.00%
  41  VomInf    2.62%    passed     76.29%
****  TOTAL     4.12%  14 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: No CharPartition defined, use all CharSets

Loading 257 partitions...
Subset	Type	Seqs	Sites	Infor	Invar	Model	Name
47	DNA	40	2127	590	1132	GTR+G	EOG090C031J
48	DNA	41	2397	600	1445	GTR+G	EOG090C0349
49	DNA	41	1734	753	616	GTR+G	EOG090C034S
50	DNA	41	2346	811	912	GTR+G	EOG090C035W
51	DNA	41	1995	655	865	GTR+G	EOG090C037V
52	DNA	41	2082	715	909	GTR+G	EOG090C039G
53	DNA	41	1671	475	848	GTR+G	EOG090C03F4
54	DNA	41	2214	711	1101	GTR+G	EOG090C03FG
55	DNA	41	1590	536	648	GTR+G	EOG090C03FJ
56	DNA	39	2412	820	1021	GTR+G	EOG090C03H4
57	DNA	41	2115	476	1305	GTR+G	EOG090C03MY
58	DNA	41	1386	377	790	GTR+G	EOG090C03OC
59	DNA	41	3951	1352	1526	GTR+G	EOG090C03Q4
60	DNA	40	900	404	242	GTR+G	EOG090C03SO
61	DNA	41	1857	511	980	GTR+G	EOG090C03TA
62	DNA	41	1899	672	835	GTR+G	EOG090C042A
63	DNA	41	1545	453	739	GTR+G	EOG090C048B
64	DNA	41	909	285	520	GTR+G	EOG090C04B1
65	DNA	41	1938	828	655	GTR+G	EOG090C04FD
66	DNA	41	2151	548	1197	GTR+G	EOG090C04H0
67	DNA	41	1833	440	1129	GTR+G	EOG090C04IP
68	DNA	41	1797	729	653	GTR+G	EOG090C04JE
69	DNA	41	1797	257	1293	GTR+G	EOG090C04N7
70	DNA	41	1590	419	823	GTR+G	EOG090C04QC
71	DNA	41	1788	533	824	GTR+G	EOG090C04RC
72	DNA	41	1692	492	900	GTR+G	EOG090C04SN
73	DNA	41	948	294	478	GTR+G	EOG090C04TR
74	DNA	41	1656	557	678	GTR+G	EOG090C04V7
75	DNA	40	1611	438	819	GTR+G	EOG090C050C
76	DNA	41	1839	495	1045	GTR+G	EOG090C052V
77	DNA	41	1761	469	916	GTR+G	EOG090C053D
78	DNA	41	1473	540	554	GTR+G	EOG090C0578
79	DNA	41	1629	472	757	GTR+G	EOG090C059D
80	DNA	41	1317	315	691	GTR+G	EOG090C05A5
81	DNA	41	1857	482	1062	GTR+G	EOG090C05AA
82	DNA	41	1677	368	1069	GTR+G	EOG090C05D2
83	DNA	40	1557	449	874	GTR+G	EOG090C05G1
84	DNA	41	1947	488	1122	GTR+G	EOG090C05G3
85	DNA	41	2013	600	968	GTR+G	EOG090C05L0
86	DNA	41	1191	441	475	GTR+G	EOG090C05LN
87	DNA	41	1602	378	940	GTR+G	EOG090C05MB
88	DNA	38	1254	481	496	GTR+G	EOG090C05N2
89	DNA	41	1353	160	1068	GTR+G	EOG090C05OB
90	DNA	41	753	223	400	GTR+G	EOG090C05QX
91	DNA	41	1677	383	984	GTR+G	EOG090C05QZ
92	DNA	41	1035	394	439	GTR+G	EOG090C05S6
93	DNA	41	1362	419	711	GTR+G	EOG090C05SZ
94	DNA	41	1155	344	616	GTR+G	EOG090C05V5
95	DNA	41	1152	287	704	GTR+G	EOG090C05V7
96	DNA	41	1317	338	751	GTR+G	EOG090C05VD
97	DNA	41	1731	621	766	GTR+G	EOG090C05XW
98	DNA	41	1608	561	661	GTR+G	EOG090C0612
99	DNA	41	1491	273	1006	GTR+G	EOG090C061N
100	DNA	41	1413	400	707	GTR+G	EOG090C063X
101	DNA	41	1509	537	654	GTR+G	EOG090C065C
102	DNA	41	1497	401	914	GTR+G	EOG090C06D6
103	DNA	41	1470	307	989	GTR+G	EOG090C06DR
104	DNA	36	1362	493	594	GTR+G	EOG090C06E3
105	DNA	41	1227	393	588	GTR+G	EOG090C06G0
106	DNA	41	1428	426	748	GTR+G	EOG090C06GH
107	DNA	41	1413	502	633	GTR+G	EOG090C06M4
108	DNA	41	1257	263	778	GTR+G	EOG090C06OH
109	DNA	41	1236	328	758	GTR+G	EOG090C06OU
110	DNA	41	1242	360	689	GTR+G	EOG090C06TR
111	DNA	41	1230	413	526	GTR+G	EOG090C06UT
112	DNA	39	1377	413	722	GTR+G	EOG090C06YQ
113	DNA	41	1158	326	588	GTR+G	EOG090C0737
114	DNA	41	1476	423	677	GTR+G	EOG090C0764
115	DNA	41	1929	708	718	GTR+G	EOG090C0775
116	DNA	41	1347	413	705	GTR+G	EOG090C078W
117	DNA	41	1389	314	863	GTR+G	EOG090C07A1
118	DNA	41	1230	287	731	GTR+G	EOG090C07AW
119	DNA	41	1194	448	468	GTR+G	EOG090C07DE
120	DNA	37	2175	706	941	GTR+G	EOG090C07E7
121	DNA	41	1320	409	643	GTR+G	EOG090C07EK
122	DNA	41	1287	409	639	GTR+G	EOG090C07FM
123	DNA	41	1221	212	856	GTR+G	EOG090C07KD
124	DNA	41	3489	1098	1588	GTR+G	EOG090C07QB
125	DNA	41	1206	288	706	GTR+G	EOG090C07R2
126	DNA	41	1443	410	764	GTR+G	EOG090C07T8
127	DNA	39	1227	316	742	GTR+G	EOG090C07T9
128	DNA	40	948	306	433	GTR+G	EOG090C07UF
129	DNA	39	1092	258	638	GTR+G	EOG090C07VC
130	DNA	41	1221	377	569	GTR+G	EOG090C07YF
131	DNA	41	1050	316	537	GTR+G	EOG090C0814
132	DNA	41	1380	412	753	GTR+G	EOG090C084B
133	DNA	41	1080	379	418	GTR+G	EOG090C084P
134	DNA	41	888	253	425	GTR+G	EOG090C0853
135	DNA	41	1209	246	774	GTR+G	EOG090C085V
136	DNA	41	1281	372	662	GTR+G	EOG090C087X
137	DNA	41	1146	240	720	GTR+G	EOG090C088I
138	DNA	41	1368	424	687	GTR+G	EOG090C08E3
139	DNA	39	1194	247	826	GTR+G	EOG090C08GX
140	DNA	41	1323	371	726	GTR+G	EOG090C08HB
141	DNA	41	918	346	338	GTR+G	EOG090C08HD
142	DNA	41	1113	309	597	GTR+G	EOG090C08IP
143	DNA	41	489	127	254	GTR+G	EOG090C08JM
144	DNA	39	978	322	467	GTR+G	EOG090C08L3
145	DNA	41	1059	258	655	GTR+G	EOG090C08P2
146	DNA	41	1074	267	617	GTR+G	EOG090C08VL
147	DNA	41	1140	365	518	GTR+G	EOG090C08Y7
148	DNA	41	1167	335	551	GTR+G	EOG090C08ZX
149	DNA	40	1056	276	599	GTR+G	EOG090C0910
150	DNA	38	1095	269	634	GTR+G	EOG090C091S
151	DNA	41	858	256	409	GTR+G	EOG090C0942
152	DNA	41	675	210	348	GTR+G	EOG090C095H
153	DNA	41	981	349	414	GTR+G	EOG090C0979
154	DNA	41	1038	210	667	GTR+G	EOG090C09E0
155	DNA	41	945	298	435	GTR+G	EOG090C09EJ
156	DNA	36	789	266	368	GTR+G	EOG090C09G2
157	DNA	41	1017	289	511	GTR+G	EOG090C09HK
158	DNA	40	1011	320	484	GTR+G	EOG090C09SR
159	DNA	41	765	234	380	GTR+G	EOG090C09U6
160	DNA	41	1182	399	490	GTR+G	EOG090C09UD
161	DNA	41	2178	652	1125	GTR+G	EOG090C09VY
162	DNA	41	1473	432	716	GTR+G	EOG090C09YB
163	DNA	41	1029	346	471	GTR+G	EOG090C09YT
164	DNA	41	1008	294	557	GTR+G	EOG090C09ZT
165	DNA	41	945	295	446	GTR+G	EOG090C0A3I
166	DNA	41	975	376	399	GTR+G	EOG090C0A45
167	DNA	41	942	303	453	GTR+G	EOG090C0A5R
168	DNA	41	1200	441	451	GTR+G	EOG090C0A60
169	DNA	41	999	337	414	GTR+G	EOG090C0A64
170	DNA	39	915	363	336	GTR+G	EOG090C0A6M
171	DNA	41	912	250	488	GTR+G	EOG090C0A75
172	DNA	41	999	241	613	GTR+G	EOG090C0A7L
173	DNA	41	711	210	373	GTR+G	EOG090C0A7Z
174	DNA	41	990	355	413	GTR+G	EOG090C0A9E
175	DNA	41	930	335	396	GTR+G	EOG090C0A9Z
176	DNA	41	837	237	380	GTR+G	EOG090C0ACE
177	DNA	41	534	205	219	GTR+G	EOG090C0AFE
178	DNA	41	1047	330	529	GTR+G	EOG090C0AJF
179	DNA	41	765	211	400	GTR+G	EOG090C0ATW
180	DNA	41	1002	328	444	GTR+G	EOG090C0AVW
181	DNA	41	813	211	465	GTR+G	EOG090C0AYM
182	DNA	41	1164	287	679	GTR+G	EOG090C0B0W
183	DNA	41	786	235	331	GTR+G	EOG090C0B2X
184	DNA	41	855	205	501	GTR+G	EOG090C0B5U
185	DNA	40	747	271	310	GTR+G	EOG090C0B6Z
186	DNA	41	870	241	441	GTR+G	EOG090C0BFG
187	DNA	41	663	99	471	GTR+G	EOG090C0BHC
188	DNA	41	999	351	450	GTR+G	EOG090C0BIV
189	DNA	41	594	231	235	GTR+G	EOG090C0BJ8
190	DNA	41	864	216	521	GTR+G	EOG090C0BJH
191	DNA	41	702	182	357	GTR+G	EOG090C0BO8
192	DNA	41	684	246	300	GTR+G	EOG090C0BQZ
193	DNA	41	948	114	717	GTR+G	EOG090C0BSS
194	DNA	41	924	328	417	GTR+G	EOG090C0BXY
195	DNA	41	2202	741	929	GTR+G	EOG090C0C28
196	DNA	41	576	151	311	GTR+G	EOG090C0C6Y
197	DNA	41	699	172	443	GTR+G	EOG090C0C82
198	DNA	41	960	219	600	GTR+G	EOG090C0C96
199	DNA	41	810	68	623	GTR+G	EOG090C0CAE
200	DNA	41	795	186	486	GTR+G	EOG090C0CC2
201	DNA	39	639	175	323	GTR+G	EOG090C0CI2
202	DNA	41	927	183	586	GTR+G	EOG090C0CL1
203	DNA	41	810	155	538	GTR+G	EOG090C0CNR
204	DNA	41	765	203	420	GTR+G	EOG090C0CNU
205	DNA	41	768	196	455	GTR+G	EOG090C0COA
206	DNA	41	792	185	450	GTR+G	EOG090C0COQ
207	DNA	41	642	232	289	GTR+G	EOG090C0CP2
208	DNA	41	693	249	302	GTR+G	EOG090C0CQ8
209	DNA	41	663	174	361	GTR+G	EOG090C0CT5
210	DNA	41	711	183	392	GTR+G	EOG090C0CUT
211	DNA	41	510	206	195	GTR+G	EOG090C0CVS
212	DNA	41	705	227	311	GTR+G	EOG090C0CWR
213	DNA	41	633	212	299	GTR+G	EOG090C0D12
214	DNA	41	750	311	237	GTR+G	EOG090C0D5X
215	DNA	41	606	124	337	GTR+G	EOG090C0D62
216	DNA	41	1203	368	642	GTR+G	EOG090C0D8Y
217	DNA	41	474	152	195	GTR+G	EOG090C0DBT
218	DNA	41	789	138	522	GTR+G	EOG090C0DC4
219	DNA	41	1035	273	543	GTR+G	EOG090C0DCG
220	DNA	41	384	135	144	GTR+G	EOG090C0DHQ
221	DNA	41	483	119	252	GTR+G	EOG090C0DIZ
222	DNA	41	405	134	187	GTR+G	EOG090C0DLR
223	DNA	41	681	216	343	GTR+G	EOG090C0DPN
224	DNA	34	1443	382	690	GTR+G	EOG090C0DPY
225	DNA	41	738	120	460	GTR+G	EOG090C0DQF
226	DNA	41	729	179	449	GTR+G	EOG090C0DVF
227	DNA	41	729	162	414	GTR+G	EOG090C0DYT
228	DNA	41	594	137	364	GTR+G	EOG090C0DZR
229	DNA	41	666	175	336	GTR+G	EOG090C0E0A
230	DNA	40	555	127	352	GTR+G	EOG090C0E5P
231	DNA	41	885	187	540	GTR+G	EOG090C0E61
232	DNA	41	507	162	248	GTR+G	EOG090C0E66
233	DNA	41	378	97	218	GTR+G	EOG090C0E67
234	DNA	41	486	92	301	GTR+G	EOG090C0E9M
235	DNA	41	750	212	335	GTR+G	EOG090C0ECL
236	DNA	41	519	159	286	GTR+G	EOG090C0EDQ
237	DNA	41	708	150	426	GTR+G	EOG090C0EOX
238	DNA	40	678	170	419	GTR+G	EOG090C0EQN
239	DNA	41	456	107	258	GTR+G	EOG090C0EQT
240	DNA	41	534	145	294	GTR+G	EOG090C0ERA
241	DNA	41	366	136	163	GTR+G	EOG090C0EUQ
242	DNA	41	483	219	151	GTR+G	EOG090C0EW9
243	DNA	41	477	100	290	GTR+G	EOG090C0EZV
244	DNA	41	327	91	194	GTR+G	EOG090C0F0B
245	DNA	40	429	147	199	GTR+G	EOG090C0F5V
246	DNA	41	390	91	227	GTR+G	EOG090C0F6D
247	DNA	40	372	107	211	GTR+G	EOG090C0FDT
248	DNA	41	567	132	332	GTR+G	EOG090C0FJ3
249	DNA	41	438	47	345	GTR+G	EOG090C0FJJ
250	DNA	41	408	126	201	GTR+G	EOG090C0FK5
251	DNA	41	375	92	251	GTR+G	EOG090C0FMY
252	DNA	40	498	176	235	GTR+G	EOG090C0FN4
253	DNA	41	375	136	127	GTR+G	EOG090C0FO8
254	DNA	41	321	119	133	GTR+G	EOG090C0FPV
255	DNA	40	321	54	226	GTR+G	EOG090C0FTD
256	DNA	40	336	53	250	GTR+G	EOG090C0FVO
257	DNA	37	348	141	122	GTR+G	EOG090C0GEX
Degree of missing data: 0.006
Info: multi-threading strategy over partitions


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.444 seconds
Generating 1000 samples for ultrafast bootstrap (seed: 140324)...

NOTE: 1571 MB RAM (1 GB) is required!
Estimate model parameters (epsilon = 0.100)
Initial log-likelihood: -2581209.710
Current log-likelihood at step 1: -2466584.045
Current log-likelihood at step 2: -2464688.043
Current log-likelihood at step 3: -2464679.081
Current log-likelihood at step 4: -2464678.587
Current log-likelihood at step 5: -2464678.436
Current log-likelihood at step 6: -2464678.358
Partition-specific rates:  1.194 1.006 1.288 1.295 0.957 0.702 0.797 0.761 0.840 1.094 0.888 0.740 0.900 0.755 0.725 1.223 0.950 1.349 0.808 0.649 1.212 1.050 0.978 1.194 0.941 0.734 1.031 1.350 1.106 1.431 1.155 1.291 0.868 0.539 1.121 1.187 0.942 0.876 1.205 1.244 1.252 0.909 1.208 0.845 1.024 1.199 0.836 0.835 1.371 1.238 1.108 1.167 0.950 1.156 1.104 1.291 0.678 0.917 1.229 1.504 1.015 1.270 1.079 1.189 1.441 0.859 0.754 1.270 0.463 0.923 1.068 0.938 1.000 1.142 1.044 0.808 0.869 1.309 0.901 0.924 0.777 0.624 0.821 0.913 1.030 1.317 0.865 1.481 0.366 1.115 0.812 1.263 1.172 0.879 0.854 0.816 1.103 1.339 0.590 0.989 1.162 0.915 0.580 1.135 0.964 0.908 1.121 0.651 0.877 0.967 1.304 1.085 1.143 1.440 1.297 0.939 0.702 0.719 1.268 1.161 0.975 1.097 0.546 1.164 0.781 0.852 0.891 1.117 0.963 0.918 0.984 0.910 1.260 1.195 0.754 0.918 0.681 1.040 0.647 1.079 1.465 0.866 1.023 1.103 0.828 0.795 1.147 0.901 0.806 1.118 0.988 1.061 1.183 0.654 0.949 1.246 1.004 0.988 0.945 1.028 0.900 1.046 1.110 1.069 1.082 1.185 1.202 1.330 1.190 1.778 0.760 1.024 0.898 1.164 1.603 1.290 1.598 1.042 0.924 1.034 0.856 0.688 1.068 0.736 1.445 0.810 0.487 0.998 1.158 0.835 1.202 1.158 0.471 1.198 1.413 0.883 0.754 0.913 0.257 0.754 0.749 0.656 0.508 0.803 0.752 0.808 1.234 1.220 0.791 0.882 1.438 1.167 0.994 1.378 0.649 0.936 0.996 0.610 1.250 1.219 0.882 1.062 0.936 1.201 0.501 0.817 0.775 0.568 1.183 0.691 0.707 1.069 0.796 0.591 0.987 0.874 0.784 0.857 0.696 0.808 1.147 1.469 0.655 0.864 1.272 0.706 0.800 0.717 0.371 1.108 0.766 1.086 1.123 1.379 0.493 0.389 1.510
Parameters optimization took 5 rounds (35.347 sec)

Computing ML distances based on estimated model parameters... 17.722 sec
Computing BIONJ tree...
0.044 seconds
Log-likelihood of BIONJ tree: -2464962.690
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 64.244 second
Computing log-likelihood of 98 initial trees ... 112.706 seconds
Current best score: -2464678.358

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
Initial log-likelihood: -2464228.099
Current log-likelihood at step 1: -2464223.269
Current log-likelihood at step 2: -2464222.957
Current log-likelihood at step 3: -2464222.832
Current log-likelihood at step 4: -2464222.755
Parameters optimization took 3 rounds (12.977 sec)

BETTER TREE FOUND at iteration 1: -2464222.755
Iteration 10 / LogL: -2464222.915 / Time: 0h:7m:54s
Iteration 20 / LogL: -2464224.753 / Time: 0h:12m:13s
Finish initializing candidate tree set (1)
Current best tree score: -2464222.755 / CPU time: 682.597
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
UPDATE BEST LOG-LIKELIHOOD: -2464222.755
Iteration 30 / LogL: -2464222.755 / Time: 0h:15m:48s (0h:38m:40s left)
Iteration 40 / LogL: -2464664.292 / Time: 0h:19m:0s (0h:29m:42s left)
Iteration 50 / LogL: -2464664.009 / Time: 0h:22m:34s (0h:23m:29s left)
Log-likelihood cutoff on original alignment: -2464354.139
Iteration 60 / LogL: -2464223.616 / Time: 0h:25m:42s (0h:17m:51s left)
Iteration 70 / LogL: -2464222.759 / Time: 0h:29m:4s (0h:13m:3s left)
Iteration 80 / LogL: -2464227.090 / Time: 0h:32m:37s (0h:8m:40s left)
Iteration 90 / LogL: -2464222.761 / Time: 0h:36m:2s (0h:4m:27s left)
Iteration 100 / LogL: -2464226.073 / Time: 0h:39m:34s (0h:0m:23s left)
Log-likelihood cutoff on original alignment: -2464354.139
NOTE: Bootstrap correlation coefficient of split occurrence frequencies: 1.000
TREE SEARCH COMPLETED AFTER 102 ITERATIONS / Time: 0h:40m:16s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
Initial log-likelihood: -2464222.755
Current log-likelihood at step 1: -2464222.703
Current log-likelihood at step 2: -2464222.661
Current log-likelihood at step 3: -2464222.623
Current log-likelihood at step 4: -2464222.592
Current log-likelihood at step 5: -2464222.561
Current log-likelihood at step 6: -2464222.534
Current log-likelihood at step 7: -2464222.509
Current log-likelihood at step 8: -2464222.488
Current log-likelihood at step 9: -2464222.467
Current log-likelihood at step 10: -2464222.448
Current log-likelihood at step 11: -2464222.430
Current log-likelihood at step 12: -2464222.414
Current log-likelihood at step 13: -2464222.396
Current log-likelihood at step 14: -2464222.381
Current log-likelihood at step 15: -2464222.363
Current log-likelihood at step 16: -2464222.350
Current log-likelihood at step 17: -2464222.339
Current log-likelihood at step 18: -2464222.329
Current log-likelihood at step 19: -2464222.320
